Question,Answer
What is covered in 5 Semester Syllabus (Semester Semester)?,"knapsack problem, Greedy – 0-1 knapsack, fractional knapsack, scheduling problem, Huffman coding, MST,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Branch-and-bound – travelling sales person problem, 0/1 knapsack problem, Divide and Conquer, Merge"
What is covered in 5 Semester Syllabus (Semester Semester)?,"sort, binary search, quick sort."
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT - III:
What is covered in 5 Semester Syllabus (Semester Semester)?,"Randomized Algorithms: Finger Printing, Pattern Matching, Graph Problems, Algebraic Methods,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Probabilistic Primality Testing, De-Randomization Advanced Algorithms."
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT - IV:
What is covered in 5 Semester Syllabus (Semester Semester)?,"Graph Algorithms: Shortest paths, Flow networks, Spanning Trees; Approximation algorithms, Randomized"
What is covered in 5 Semester Syllabus (Semester Semester)?,algorithms. Approximation algorithms: Polynomial Time Approximation Schemes.
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT - V:
What is covered in 5 Semester Syllabus (Semester Semester)?,"Advanced Data Structures and applications: Decision Trees and Circuits, B-Trees, AVL Trees, Red and"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Black trees, Dictionaries and tries, Maps, Binomial Heaps, Fibonacci Heaps, Disjoint sets, Union by Rank"
What is covered in 5 Semester Syllabus (Semester Semester)?,and Path Compression
What is covered in 5 Semester Syllabus (Semester Semester)?,TEXT BOOKS:
What is covered in 5 Semester Syllabus (Semester Semester)?,"1. T. Cormen, C. Leiserson, R. Rivest and C. Stein, Introduction to Algorithms, Third Edition,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"McGraw-Hill, 2009."
What is covered in 5 Semester Syllabus (Semester Semester)?,"2. R. Motwani and P. Raghavan, Randomized Algorithms, Cambridge University Press, 1995."
What is covered in 5 Semester Syllabus (Semester Semester)?,"3. J. J. McConnell, Analysis of Algorithms: An Active Learning Approach, Jones & Bartlett"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Publishers, 2001."
What is covered in 5 Semester Syllabus (Semester Semester)?,"4. D. E. Knuth, Art of Computer Programming, Volume 3, Sorting and Searching, Second Edition,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Addison-Wesley Professional, 1998."
What is covered in 5 Semester Syllabus (Semester Semester)?,"5. S. Dasgupta, C. H. Papadimitriou and U. V. Vazirani, Algorithms, McGraw-Hill, 2008."
What is covered in 5 Semester Syllabus (Semester Semester)?,"Page 8 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 5 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: V
What is covered in 5 Semester Syllabus (Semester Semester)?,Subject: Distributed Computing Subject Code: C127533(022)
What is covered in 5 Semester Syllabus (Semester Semester)?,Total Theory Periods: 40 Total Tutorial Periods: 10
What is covered in 5 Semester Syllabus (Semester Semester)?,No. of Class tests to: 2 (Minimum) No. of Assignments to be submitted: One per Unit
What is covered in 5 Semester Syllabus (Semester Semester)?,"ESE Duration: Three Hours, Maximum Marks in ESE: 100 Minimum Marks in ESE: 35"
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT-I: INTRODUCTION
What is covered in 5 Semester Syllabus (Semester Semester)?,"Introduction: Definition-Relation to Computer System Components, Motivation, Message, Passing"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Systems versus Shared Memory Systems, Primitives for Distributed Communication,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Synchronous versus Asynchronous Executions, Design Issues and Challenges; A Model of"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Distributed Computations: A Distributed Program, A Model of Distributed Executions, Models of"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Communication Networks, Global State of a Distributed System."
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT-II: LOGICAL TIME AND GLOBAL STATE
What is covered in 5 Semester Syllabus (Semester Semester)?,"Logical Time: Physical Clock Synchronization: NTP, A Framework for a System of Logical Clocks, Scalar"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Time, Vector Time; Message Ordering and Group Communication: Message Ordering."
What is covered in 5 Semester Syllabus (Semester Semester)?,"Paradigms, Asynchronous Execution with Synchronous Communication, Synchronous Program"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Order on Asynchronous System, Group Communication, Causal Order, Total Order; Global"
What is covered in 5 Semester Syllabus (Semester Semester)?,"State and Snapshot Recording Algorithms: Introduction – System Model and Definitions, Snapshot."
What is covered in 5 Semester Syllabus (Semester Semester)?,Algorithms for FIFO Channels.
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT-III: DISTRIBUTED MUTEX AND DEADLOCK
What is covered in 5 Semester Syllabus (Semester Semester)?,"Distributed Mutual exclusion Algorithms: Introduction, Preliminaries, Lamport’s algorithm, Ricart"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Agrawala’s Algorithm, Token-Based Algorithms, Suzuki-Kasami’s Broadcast Algorithm;"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Deadlock Detection in Distributed Systems: Introduction, System Model, Preliminaries Models"
What is covered in 5 Semester Syllabus (Semester Semester)?,"of Deadlocks, Chandy-Misra-Haas Algorithm for the AND model and OR Model."
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT-IV: CONSENSUS AND RECOVERY
What is covered in 5 Semester Syllabus (Semester Semester)?,"Consensus and Agreement Algorithms: Problem Definition, Overview of Results, Agreement in a"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Failure-Free System (Synchronous and Asynchronous), Agreement in Synchronous Systems with"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Failures; Check pointing and Rollback Recovery: Introduction, Background and Definitions, Issues"
What is covered in 5 Semester Syllabus (Semester Semester)?,"in Failure Recovery, Checkpoint-based Recovery, Coordinated Check pointing Algorithm,"
What is covered in 5 Semester Syllabus (Semester Semester)?,Algorithm for Asynchronous Check pointing and Recovery
What is covered in 5 Semester Syllabus (Semester Semester)?,UNIT-V: CLOUD COMPUTING
What is covered in 5 Semester Syllabus (Semester Semester)?,"Definition of Cloud Computing, Characteristics of Cloud, Cloud Deployment Models, Cloud"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Service Models, Driving Factors and Challenges of Cloud, Virtualization, Load Balancing,"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Scalability and Elasticity, Replication, Monitoring, Cloud Services and Platforms: Compute"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Services, Storage Services, Application Services"
What is covered in 5 Semester Syllabus (Semester Semester)?,TEXT BOOKS:
What is covered in 5 Semester Syllabus (Semester Semester)?,"1. Kshemkalyani Ajay D, Mukesh Singhal, “Distributed Computing: Principles, Algorithms and"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Systems”, Cambridge Press, 2011."
What is covered in 5 Semester Syllabus (Semester Semester)?,"2. Mukesh Singhal, Niranjan G Shivaratri, “Advanced Concepts in Operating systems”, McGraw Hill"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Publishers, 1994."
What is covered in 5 Semester Syllabus (Semester Semester)?,Page 9 of 13REFERENCES:
What is covered in 5 Semester Syllabus (Semester Semester)?,"1. George Coulouris, Jean Dollimore, Time Kindberg, “Distributed Systems Concepts and Design”, Fifth"
What is covered in 5 Semester Syllabus (Semester Semester)?,"Edition, Pearson Education, 2012."
What is covered in 5 Semester Syllabus (Semester Semester)?,"2. Pradeep L Sinha, “Distributed Operating Systems: Concepts and Design”, Prentice Hall of India, 2007."
What is covered in 5 Semester Syllabus (Semester Semester)?,"3. Tanenbaum A S, Van Steen M, “Distributed Systems: Principles and Paradigms”, Pearson Education,"
What is covered in 5 Semester Syllabus (Semester Semester)?,2007.
What is covered in 5 Semester Syllabus (Semester Semester)?,"4. Liu M L, “Distributed Computing: Principles and Applications”, Pearson Education, 2004."
What is covered in 5 Semester Syllabus (Semester Semester)?,"5. Nancy A Lynch, “Distributed Algorithms”, Morgan Kaufman Publishers, 2003."
What is covered in 5 Semester Syllabus (Semester Semester)?,"6. Arshdeep Bagga, Vijay Madisetti, “ Cloud Computing: A Hands-On Approach”, Universities Press, 2014."
What is covered in 5 Semester Syllabus (Semester Semester)?,"Page 10 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 5 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: V
What is covered in 5 Semester Syllabus (Semester Semester)?,Subject: Pattern Recognition and Machine Learning Lab Subject Code: C128591(022)
What is covered in 5 Semester Syllabus (Semester Semester)?,Maximum Marks in ESE: 40
What is covered in 5 Semester Syllabus (Semester Semester)?,LIST OF EXPERIMENTS :
What is covered in 5 Semester Syllabus (Semester Semester)?,1. Installation of Python Libraries/ MATLAB tools for Machine Learning
What is covered in 5 Semester Syllabus (Semester Semester)?,2. Data pre-processing using Python Machine Learning libraries/ MATLAB.
What is covered in 5 Semester Syllabus (Semester Semester)?,3. Design a model to predict the housing price from Boston Dataset using Multivariate Linear Regression.
What is covered in 5 Semester Syllabus (Semester Semester)?,"4. Build a classifier using Logistic Regression, k- Nearest Neighbor / Decision Tree to classify whether the"
What is covered in 5 Semester Syllabus (Semester Semester)?,given user will purchase a product or not from a social networking dataset.
What is covered in 5 Semester Syllabus (Semester Semester)?,5. Segment a customer dataset based on the buying behaviour of customers using K- means/Hierarchical
What is covered in 5 Semester Syllabus (Semester Semester)?,clustering.
What is covered in 5 Semester Syllabus (Semester Semester)?,6. Dimensionality reduction of any CSV/image dataset using Principal Component Analysis.
What is covered in 5 Semester Syllabus (Semester Semester)?,7. Recognition of MNIST handwritten digits using Artificial Neural Network.
What is covered in 5 Semester Syllabus (Semester Semester)?,8. Build an email spam classifier using SVM.
What is covered in 5 Semester Syllabus (Semester Semester)?,9. Classify the given text segment as ‘Positive’ or ‘Negative’ statement using the Naive Bayes Classifier.
What is covered in 5 Semester Syllabus (Semester Semester)?,10. Predict future stock price of a company using Monte Carlo Simulation.
What is covered in 5 Semester Syllabus (Semester Semester)?,"Page 11 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 5 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: V
What is covered in 5 Semester Syllabus (Semester Semester)?,Subject: Intelligent Data Analysis Lab Subject Code: C128592(022)
What is covered in 5 Semester Syllabus (Semester Semester)?,Maximum Marks in ESE: 40
What is covered in 5 Semester Syllabus (Semester Semester)?,LIST OF EXPERIMENTS:
What is covered in 5 Semester Syllabus (Semester Semester)?,Note – Datasets can be selected from UCI Machine Learning Repository and/or kaggle dataset
What is covered in 5 Semester Syllabus (Semester Semester)?,repository for different experiments
What is covered in 5 Semester Syllabus (Semester Semester)?,1. Demonstration of different pre-processing techniques including missing value handling and data
What is covered in 5 Semester Syllabus (Semester Semester)?,discretization on Adult dataset.
What is covered in 5 Semester Syllabus (Semester Semester)?,2. Demonstration of data reduction techniques including PCA and Histogram on Predict students' dropout and
What is covered in 5 Semester Syllabus (Semester Semester)?,academic success dataset.
What is covered in 5 Semester Syllabus (Semester Semester)?,3. Demonstration of classification rules process on dataset of your choice using ID3 and J48 algorithm in
What is covered in 5 Semester Syllabus (Semester Semester)?,Weka explorer.
What is covered in 5 Semester Syllabus (Semester Semester)?,4. Implement the classification rules process on dataset of your choice using Naive Baye’s algorithm in Weka
What is covered in 5 Semester Syllabus (Semester Semester)?,explorer.
What is covered in 5 Semester Syllabus (Semester Semester)?,5. Build a Neural Network model to predict whether tumor is malignant or benign for Breast Cancer
What is covered in 5 Semester Syllabus (Semester Semester)?,Wisconsin (Diagnostic) dataset using Python.
What is covered in 5 Semester Syllabus (Semester Semester)?,6. Demonstration of clustering on dataset of your choice using simple K-means algorithm in
What is covered in 5 Semester Syllabus (Semester Semester)?,weka explorer and python.
What is covered in 5 Semester Syllabus (Semester Semester)?,7. Demonstration of clustering on dataset of your choice using simple DBSCAN algorithm in
What is covered in 5 Semester Syllabus (Semester Semester)?,weka explorer and python.
What is covered in 5 Semester Syllabus (Semester Semester)?,8. Demonstration of clustering on dataset of your choice using simple BIRCH algorithm in
What is covered in 5 Semester Syllabus (Semester Semester)?,weka explorer and python.
What is covered in 5 Semester Syllabus (Semester Semester)?,9. Demonstration of association rule generation on Groceries dataset for Market Basket Analysis using Apriori
What is covered in 5 Semester Syllabus (Semester Semester)?,algorithm in weka explorer.
What is covered in 5 Semester Syllabus (Semester Semester)?,10. Perform comparative analysis of Apriori and FP-Growth algorithms on Market Basket Analysis using
What is covered in 5 Semester Syllabus (Semester Semester)?,Python.
What is covered in 5 Semester Syllabus (Semester Semester)?,"Page 12 of 13Chhattisgarh Swami Vivekananda Technical University, Bhilai (C.G.)"
What is covered in 5 Semester Syllabus (Semester Semester)?,Branch: B Tech Honours (Data Science) Semester: V
What is covered in 5 Semester Syllabus (Semester Semester)?,Subject: Natural Language Processing (Lab) Subject Code: C128593(022)
What is covered in 5 Semester Syllabus (Semester Semester)?,Maximum Marks in ESE: 40
What is covered in 5 Semester Syllabus (Semester Semester)?,List of Experiments:-
What is covered in 5 Semester Syllabus (Semester Semester)?,1. Convert the text into tokens
What is covered in 5 Semester Syllabus (Semester Semester)?,2. Find the word frequency
What is covered in 5 Semester Syllabus (Semester Semester)?,3. Demonstrate a bigram language model
What is covered in 5 Semester Syllabus (Semester Semester)?,4. Demonstrate a trigram language model
What is covered in 5 Semester Syllabus (Semester Semester)?,5. Generate regular expression for a given text
What is covered in 5 Semester Syllabus (Semester Semester)?,6. Perform Lemmatization
What is covered in 5 Semester Syllabus (Semester Semester)?,7. Perform Stemming
What is covered in 5 Semester Syllabus (Semester Semester)?,8. Identify parts-of Speech using Penn Treebank tag set.
What is covered in 5 Semester Syllabus (Semester Semester)?,9. Implement HMM for POS tagging
What is covered in 5 Semester Syllabus (Semester Semester)?,10. Build a Chunker
What is covered in 5 Semester Syllabus (Semester Semester)?,11. Find the synonym of a word using WordNet
What is covered in 5 Semester Syllabus (Semester Semester)?,12. Find the antonym of a word
What is covered in 5 Semester Syllabus (Semester Semester)?,13. Implement semantic role labeling to identify named entities
What is covered in 5 Semester Syllabus (Semester Semester)?,14. Resolve the ambiguity
What is covered in 5 Semester Syllabus (Semester Semester)?,15. Translate the text using First-order logic
What is covered in 5 Semester Syllabus (Semester Semester)?,16. Implement RNN for sequence labeling
What is covered in 5 Semester Syllabus (Semester Semester)?,17. Implement POS tagging using LSTM
What is covered in 5 Semester Syllabus (Semester Semester)?,18. Implement Named Entity Recognizer
What is covered in 5 Semester Syllabus (Semester Semester)?,19. Word sense disambiguation by LSTM/GRU
What is covered in 5 Semester Syllabus (Semester Semester)?,20. Develop a Movie review system
What is covered in 5 Semester Syllabus (Semester Semester)?,21. Create a chatbot for HITS.
What is covered in 5 Semester Syllabus (Semester Semester)?,Page 13 of 13
